"8051","BCHM 415L","2","Biochemistry II Lab","1","","Lab","R","1330-1720","FORBES 1015","Thorsen, Amanda","14","Open",
"8058","BIOL 108","ON1","General Biology II","3","  AINW","Lec","TR","1800-1915","SYN ","Crock, Forrest","0","Closed",
"8059","BIOL 109L","1","General Biology Laboratory","1","  AINW","Lab","M","1400-1550","FORBES 1027","Loftis, Jon","0","Closed",
"8060","BIOL 109L","2","General Biology Laboratory","1","  AINW","Lab","M","1600-1750","FORBES 1027","Loftis, Jon","0","Closed",
"8061","BIOL 109L","3","General Biology Laboratory","1","  AINW","Lab","M","1800-1950","FORBES 1027","Loftis, Jon","1","Open",
"8062","BIOL 109L","4","General Biology Laboratory","1","  AINW","Lab","T","1800-1950","FORBES 1027","Lundquist, Adam","0","Closed",
"8063","BIOL 109L","5","General Biology Laboratory","1","  AINW","Lab","R","1800-1950","FORBES 1027","Lundquist, Adam","0","Closed",
"8064","BIOL 109L","6","General Biology Laboratory","1","  AINW","Lab","M","2000-2150","FORBES 1027","Loftis, Jon","0","Closed",
"8065","BIOL 109L","7","General Biology Laboratory","1","  AINW","Lab","T","2000-2150","FORBES 1027","Lundquist, Adam","0","Closed",
"8066","BIOL 109L","8","General Biology Laboratory","1","  AINW","Lab","R","2000-2150","FORBES 1027","Lundquist, Adam","1","Open",
"8067","BIOL 113","1","Topics in Medicine and Health","3","  AINW","Lec","MW","1800-1915","FORBES 1022","Treadwell, Michelle","1","Open",
"9279","BIOL 113","ON1","Topics in Medicine and Health","3","  AINW","Lec","TR","1330-1445","SYN ","Horten, Abby","0","Closed",
"8068","BIOL 115","1","Tpcs in Ecology &amp; Environment","3","  AINW","Lec","MWF","1200-1250","FORBES 1022","Atkinson, Robert","0","Closed",
"8069","BIOL 211","1","Principles of Biology I","3","","Lec","MWF","0800-0850","FORBES 3012","Burket, Jessica","4","Open",
"8070","BIOL 211","2","Principles of Biology I","3","","Lec","MWF","0900-0950","FERG T132","Salazar, Anna","19","Open",
"8071","BIOL 211","3","Principles of Biology I","3","","Lec","TR","1630-1745","DSU 255","Brown, Gwynne","18","Open",
"8072","BIOL 211","4","Principles of Biology I","3","","Lec","TR","1500-1615","DSU 255","Brown, Gwynne","3","Open",
"8074","BIOL 211L","2","Principles of Biology I Lab","1","","Lab","T","0800-1150","FORBES 1009","Guidicelli-Gadea, Lourdes","11","Open",
"8076","BIOL 211L","4","Principles of Biology I Lab","1","","Lab","W","1800-2150","FORBES 1009","Dorsey, Brittany","1","Open",
"8077","BIOL 211L","5","Principles of Biology I Lab","1","","Lab","T","1800-2150","FORBES 1009","Aguilar, Leah","0","Closed",
"8078","BIOL 211L","6","Principles of Biology I Lab","1","","Lab","R","1800-2150","FORBES 1009","Quintanilla, Ricardo","7","Open",
"8079","BIOL 211L","7","Principles of Biology I Lab","1","","Lab","W","1300-1650","FORBES 1009","Sinclair, Kathryn","4","Open",
"8073","BIOL 211L","ON1","Principles of Biology I Lab","1","","Lab","M","1300-1650","SYN ","Tombolato-Terzic, Denise","19","Open",
"8080","BIOL 211L","ON2","Principles of Biology I Lab","1","","Lab","T","1330-1720","SYN ","Tombolato-Terzic, Denise","17","Open",
"8081","BIOL 212","1","Principles of Biology II","3","","Lec","TR","0930-1045","FERG T132","Harwell, Heather","16","Open",
"8082","BIOL 212","2","Principles of Biology II","3","","Lec","TR","1100-1215","FORBES 2070A","Harwell, Heather","0","Closed",
"8083","BIOL 212","3","Principles of Biology II","3","","Lec","MWF","0800-0850","FRMN T113","Sherwin, Richard","22","Open",
"8084","BIOL 212L","1","Principles of Biology II Lab","1","","Lab","W","0900-1250","FORBES 1027","Haymond, Shauna","8","Open",
"8085","BIOL 212L","2","Principles of Biology II Lab","1","","Lab","W","0900-1250","FORBES 1002","Lattanzio, Matthew","20","Open",
"8086","BIOL 212L","3","Principles of Biology II Lab","1","","Lab","T","1330-1720","FORBES 1002","Sinclair, Kathryn","0","Closed",
"8087","BIOL 212L","4","Principles of Biology II Lab","1","","Lab","R","1330-1720","FORBES 1002","Sinclair, Kathryn","5","Open",
"8088","BIOL 212L","5","Principles of Biology II Lab","1","","Lab","T","1330-1720","FORBES 1027","Haymond, Shauna","11","Open",
